ward_code;ward_name;population_density;average_income;employment_rate;avg_gcse_score;economically_active;in_employment;eco
E05000097;Preston;6708,3;44440;67,03889103;339,0653846;69,2;91,13036829;7847
E05000098;Queens Park;10566,7;53850;75,82054941;345,8075;77,8;93,23421676;9282
E05000099;Queensbury;9100;43360;67,67027185;331,9812903;68,8;91,76334107;7758
E05000100;Stonebridge;4463,4;32250;54,249836;298,5968254;61,9;82,75524476;7150
E05000101;Sudbury;7452,4;41350;67,39595488;331,1682119;70;90,7540395;7798
E05000102;Tokyngton;7946,4;40860;67,45762712;310,8121622;70,1;90,19245004;8106
E05000103;Welsh Harp;6195,7;39000;64,85405405;315,7455782;68,5;89,11722142;6910
E05000104;Wembley Central;10906,3;38290;65,6267672;305,7202899;69,5;89,68043451;7917
E05000105;Willesden Green;10900;38710;68,62899693;296,6677419;73,5;89,58168903;8869
E05000106;Bickley;3224,5;61330;76,03126357;359,2688889;72,1;95,58553838;7634
E05000107;Biggin Hill;1265,1;52070;79,16860555;311,6208;75,4;95,20915266;5594
E05000108;Bromley Common and Keston;2078,3;51480;73,15528344;341,6916667;71,6;93,36474283;7641
E05000109;Bromley Town;5405,4;55730;78,64648264;339,7354086;77,4;94,48268669;9588
E05000110;Chelsfield and Pratts Bottom;1198,4;57790;77,29141207;363,7434783;72,9;95,71070344;7577
E05000111;Chislehurst;1533,7;59910;75,06690455;343,3982906;70,7;95,50699063;7367
E05000112;Clock House;7152,2;53100;77,74658432;338,1915493;77,9;93,77492246;9028
E05000113;Copers Cope;5000;55310;79,51930215;335,5402778;77,5;94,99676515;9274
E05000114;Cray Valley East;1214,3;40390;69,29998954;296,9125;68,6;91,34563938;7476
E05000115;Cray Valley West;4500;39760;67,41387676;302,9659794;68;91,10374713;7846
E05000116;Crystal Palace;5847,8;42730;69,48792487;286,6927711;74,6;89,5700298;7047
E05000117;Darwin;189,7;54780;75,03272251;337,3666667;69;95,80392157;2550
E05000118;Farnborough and Crofton;2164,3;57400;75,06438773;355,2761905;69,4;95,32696965;7019
E05000119;Hayes and Coney Hall;1541,7;59000;76,2816616;348,7661538;72,7;95,21257157;8209
E05000120;Kelsey and Eden Park;3182,7;57560;75,5079349;355,1067416;72,7;95,20522618;8113
E05000121;Mottingham and Chislehurst North;4416,7;40510;67,93195779;296,0565217;69,5;90,40620535;4899
E05000122;Orpington;3720,9;48100;72,75911131;328,558;69,1;92,94499257;7399
E05000123;Penge and Cator;6150;45390;70,3611457;323,3430303;73,9;90,2046328;9627
E05000124;Petts Wood and Knoll;3314;63410;75,43394407;357,2307692;69,2;96,02114227;6811
E05000125;Plaistow and Sundridge;4000;50000;73,47659403;327,0585714;73,2;93,15750187;8038
E05000126;Shortlands;4160;62610;76,2980056;381,0427273;72;95,45544751;5039
E05000127;West Wickham;3534,1;59830;76,82994557;369,8398936;72,4;95,88329337;7506
E05000128;Belsize;16437,5;84280;74,42535148;327,5957143;75,5;94,39935065;7392
E05000129;Bloomsbury;12350;62190;51,40735816;342,8888889;55,4;90,19644528;5345
E05000130;Camden Town with Primrose Hill;11333,3;71650;69,38223521;337,6598291;71,2;93,08672763;7218
E05000131;Cantelowes;16000;60060;64,30655296;317,0329268;67,9;91,14197531;6480
E05000132;Fortune Green;12500;73370;74,62956679;326,1701923;76,4;93,59680529;7262
E05000133;Frognal and Fitzjohns;8466,7;99430;69,7634514;357,2347826;70,7;94,98979111;6367
E05000134;Gospel Oak;16928,6;61590;65,49928395;323,3616438;68,2;90,8552517;5741
E05000135;Hampstead Town;4700;104710;76,57477693;384,3461538;76;96,01500234;6399
E05000136;Haverstock;18714,3;54740;62,94871795;297,2104712;66,7;89,52303961;6185
E05000137;Highgate;3593,8;75250;70,37895311;316,031746;71,4;92,84989858;5916
E05000138;Holborn and Covent Garden;11791,7;61920;61,92923503;339,00625;65,5;91,3393614;7078
E05000139;Kentish Town;14300;63670;71,26011792;305,156701;73;93,3970682;7845
E05000140;Kilburn;18285,7;53190;66,77126918;313,9913333;70;90,23677737;6504
E05000141;King's Cross;21833,3;50390;46,11320755;322,0491935;52;86,54416123;5061
